"Text","Category","Label"
"Is government gonna be taxed for it's idle land? PS: Watu wapande miti kwa hozi mashamba..it's a much better policy that'll create a stable microclimate in the country. And I mean all of it, hata ya serikali. PAnda cypress, cider, redwood...na kadhalika. Stop this fucking bullshit of turning everything into a concrete hellscape.","Agriculture","9"
"I agree Gava should not talk of youth entrepreneurship without giving access to startup funding & favorable business support services. E.g cheaper licenses. But keep in mind, 9/10 businesses do not see their third year. Now how to be the 1/10 is the real test.","Industry, Trade and Cooperatives","11"
"Huyu ameamua kuharibu barabara smh","Transport","2"
"Hakuna maji","Water and sanitation","6"
"Lack of water","Water and sanitation","6"
"Potholes kwa barabara","Transport","2"
"Mashimo kwa barabara","Transport","2"
"Bad roads","Transport","2"
"Stima inapotea sana","Energy","5"
"KPLC wanatucheza. Kila siku stima hupotea na zinakaa before zirudi","Energy","5"
"Electricity problems","Energy","5"
"Expensive electricity","Energy","5"
"Expensive food","Agriculture","9"
"Bad houses ","Housing and urban development","10"
"Expensive transport","Transport","2"
"High price of fuel","Energy","5"
"KPLC wako na jokes","Energy","5"
"Network ya simu ni mbaya","Broadcasting and telecommunications","8"
"Bad network coverage","Broadcasting and telecommunications","8"
"Napandanga juu ya miti magidhaa kutafuta network","Broadcasting and telecommunications","8"
"Telecommunication","Broadcasting and telecommunications","8"
"Shule yetu haina vitabu","Education","3"
"Schools are bad","Education","3"
"Not enough teachers in schools","Education","3"
"Shule mzuri ziko mbali","Education","3"
"Barabara zetu ni mbovu","Transport","2"
"Chakula ni expe vibaya. Leo nalala njaa","Agriculture","9"
"Food is very expensive","Agriculture","9"
"I see the housing projects as another ploy for the government to earn money. All based on the capitalist system our country is based on whoever has the power can pinch on the lesser.","Housing and urban development","10"
"Yes but nobody wants to build houses for poor people - all the houses being built are for the middle class","Housing and urban development","10"
"Personally I think the housing problem is there for sure. On the other hand, I think funding of the project is misguided. The best way to work on this was simple. Offer Bonds to the public. Come with a mechanism of doing so. This will raise more capital if people are assured of returns. Make it a willing contribution, not imposed. In fact, this way, I think they are bound to raise more than what they anticipate.","Housing and urban development","10"
"A corruption problem","Ethics and governance","12"
"For as long as we have people living in slums, we have a housing problem. Period.","Housing and urban development","10"
"The government should concentrate on infrastructure ie Access roads, Water, Sewers, and Electricity. Also, promote local manufacturing of construction materials. But also they should stop selling Kenyans false dreams. I'm sure they know that many of us are gullible and when we're promised new shiny things we'll get excited without asking questions on the feasibility of them.","Housing and urban development","10"
"We have both, an income problem and a housing problem. Raising incomes will take forever. But housing can be sorted progressively. Government is the only body with free land and economy of scales. it can drastically bring rents lows and improve the standards and infrastructure around such housing. This will bring back the dignity of city housing like Buru Buru etc","Housing and urban development","10"
"Education","Education","3"
"Schools are bad","Education","3"
"We are an agricultural nation. Our education should be more in shambas than classrooms. That this doesn't happen then supposes that maybe the problem is foolishness, copy-cat ness.. or that we are yet to break free from the yoke of colonialism","Education","3"
"Just walk to any public hospital and you will be helped bora utoe chai ya 500/","Medical Services","4"
"Madawa kwa hospitali haziko","Medical Services","4"
"Expensive  medicine","Medical Services","4"
"The current crop of medical professionals went into it for the money.","Medical Services","4"
"Lack of medicine","Medical Services","4"
"Nurses have always been rude but in the past, they'd be rude while saving you. Nowadays, they just don't care. If you die, you die.","Medical Services","4"
"Unqualified doctors","Medical Services","4"
"Line kubwa sana kwa hospitali","Medical Services","4"
"Long lines in the hospital","Medical Services","4"
"Nurses na madactari wanatutusi kwa hospitali","Medical Services","4"
"I went to the hospital and the prices were too expensive","Medical Services","4"
"Nilikosa madawa kwa hospitali","Medical Services","4"
"Can we talk about the healthcare in Kenya? How the private sector is soo expensive while the public hospitals are just a hopeless place to seek treatment and it's not free hata hivyo.There are few doctors and they have their own clinics so they don't really pay much attention to their patients in public hospitals.And then the county government won't employ doctors. Kama huna pesa you'll have to queue for hours to see one doctor who's been seeing patients hadi amechoka","Medical Services","4"
"Devolution of healthcare was the dumbest thing we did as a country. Shit was moronic.","Medical Services","4"
"You still carry the misconception that doctors working in public hospitals own clinics. You will find it's one or two per hospital. It's just that they are way understaffed, and the workload is significantly higher than their private counterparts.","Medical Services","4"
"The level of cleanliness in the hospitals ","Medical Services","4"
"The availability of medicines in county hospitals","Medical Services","4"
"When all hope is gone and even worse hospitals give up then JESUS steps in","Medical Services","4"
"The aim it's to ensure the the generators is kept at pumwani hospital so people can able to access ","Medical Services","4"
"Daktari hapa uatatuma za kabej.","Medical Services","4"
"daktari wa miti shamba died in hospital","Medical Services","4"
"My younger brother (10 yrs) alimove to a public school n kids their bullied him alot ,wanamchapa they take his money, books na hakuwai sema home so one day my sister who was in the same school akaona wakimbully akakuja kuambia mum ,mathe akaenda shule akapeana","Education","3"
"Tutafungua shule hapo kitu Sept. Naomba mnipee kazi nifanye. I am goal-oriented and a self-driven lad who can do any legit work with less supervision/pressure. I come with extra benefits too.","Education","3"
"Ukienda pale Coast of kenya one thing will remain constant. Kids in those areas huachia shule around class 6 hapo mostly girls. If you see someone who has made it to university from coast huko mombasa just know s/he is determined ama they have strict parents.","Education","3"
"Kwa euology yangu msipoadd and the deceased went to Egerton University I will haunt you juu hio shule imenionyesha mambo.","Education","3"
"University fees are too high","Education","3"
"School fees are too high","Education","3"
"Exorbitant school fees","Education","3"
"Expensive school fees","Education","3"
"Bei ya shule ni ghali","Education","3"
"Siwezi afford shule","Education","3"
"Price of going to school is too expensive","Education","3"
"Poor classrooms","Education","3"
"Bad classrooms","Education","3"
"Vitabu ni kiasi excess","Education","3"
"Vitabu ni kidogo sana","Education","3"
"Syllabus ya shule ni ngumu","Education","3"
"Vitabu ni mzee sana","Education","3"
"Old dormitories","Education","3"
"Schools have insufficient amenities","Education","3"
"Schools are too far away","Education","3"
"Bad food in schools","Education","3"
"Poor food in schools","Education","3"
"Old books in schools","Education","3"
"Labs zimechapa","Education","3"
"Labs hazina vitu","Education","3"
"Test tubes na reagents lab hazipatikani","Education","3"
"Poor labs in schools","Education","3"
"Unequipped labs in school","Education","3"
"Untrained teaches in schools","Education","3"
"School laboratories","Education","3"
"Maji haiko shule","Education","3"
"Hakuna stima shule","Education","3"
"No electricity in school","Education","3"
"Security in school","Education","3"
"Bandits attacking schools","Education","3"
"Insecurity in school","Education","3"
"School fees ","Education","3"
"Teachers not teaching","Education","3"
"Not being taught in schools","Education","3"
"Old syllabus","Education","3"
"CBC is not relevant","Education","3"
"Too much work in schools","Education","3"
"CBC inatukula vichwa","Education","3"
"""We cannot subsidize consumption"" amerudisha fuel subsidy wheelbarrow na mkokoteni zikunywe mafuta.","Energy","5"
"bei ya mafuta","Energy","5"
"price increases in fuel ","Energy","5"
"Expensive fuel","Energy","5"
"Fuel shortage","Energy","5"
"Mafuta haipatikani","Energy","5"
"Mafuta inapanda bei","Energy","5"
"Fare ni expensive","Energy","5"
"Expensive fare","Energy","5"
"How far can you actually drive na mafuta ya 1000/","Energy","5"
"You guys are driving?","Energy","5"
"government increased gas prices","Energy","5"
"I’ve done a bit of farming and I’ve always had issues with middle men/ brokers. I wonder if there would be a platform for farmers to sell produce whether it’s ahead of time at an agreed upon price or during harvest and farmers quote their prices and average price becomes actual market price. I am sure despite unga being pricey maize farmers are being shafted.","Ethics and governance","12"
"But the level of corruption in the ministry is very out of hand that, the country can't even level up and grow out of it's debts because ministers there are busy eating the money that's supposed to help farms produce more products.","Ethics and governance","12"
"my startup is building a platform for farmers. Anyone here wanna know more, hit me up pm","Agriculture","9"
"Irrigation","Agriculture","9"
"Little water for farming","Agriculture","9"
"Drought is killing our plants","Agriculture","9"
"Pests and diseases","Agriculture","9"
"Ugonjwa wa mimea","Agriculture","9"
"Mifugo hawana maji","Agriculture","9"
"Mifugo hawana maji","Agriculture","9"
"Ng'ombe","Agriculture","9"
"Ngombe","Agriculture","9"
"Mbuzi","Agriculture","9"
"Goats","Agriculture","9"
"Cows","Agriculture","9"
"Plants","Agriculture","9"
