Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kenya,KEN,2021,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,973328921.924682
Kenya,KEN,2020,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,567129881.228679
Kenya,KEN,2019,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,628827610.941533
Kenya,KEN,2018,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,570245522.266492
Kenya,KEN,2017,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,473090014.312925
Kenya,KEN,2016,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,451360165.698429
Kenya,KEN,2015,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,550307434.561937
Kenya,KEN,2014,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,755711724.114998
Kenya,KEN,2013,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,515175648.649776
Kenya,KEN,2012,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,467588858.557019
Kenya,KEN,2011,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,386719989.154438
Kenya,KEN,2010,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,357174483.043774
Kenya,KEN,2009,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,376520262.820772
Kenya,KEN,2008,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,435638896.647809
Kenya,KEN,2007,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,328361639.176784
Kenya,KEN,2006,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,281074830.755835
Kenya,KEN,2005,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,177579089.971603
Kenya,KEN,2004,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,112016241.225919
Kenya,KEN,2003,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,13656972.7149899
Kenya,KEN,2002,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,13848493.8503986
Kenya,KEN,2001,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,43190147.7530286
Kenya,KEN,2000,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,19764905.0225158
Kenya,KEN,1999,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,288104222.868048
Kenya,KEN,1998,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,222254322.333339
Kenya,KEN,1997,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,151004289.127093
Kenya,KEN,1996,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,18157269.0356159
Kenya,KEN,1995,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,21204754.7777717
Kenya,KEN,1994,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,60537398.5904694
Kenya,KEN,1993,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,25958064.4022039
Kenya,KEN,1992,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,52270810.8080145
Kenya,KEN,2021,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,19.327081120544
Kenya,KEN,2020,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,15.505310479515
Kenya,KEN,2019,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,11.2280460031494
Kenya,KEN,2018,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,10.4107630323276
Kenya,KEN,2017,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,10.1793890545698
Kenya,KEN,2016,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,10.8366728542451
Kenya,KEN,2015,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,11.8647159272025
Kenya,KEN,2014,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,15.0413871366072
Kenya,KEN,2013,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,10.0384077315659
Kenya,KEN,2012,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,9.36459006430052
Kenya,KEN,2011,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,9.35397927389652
Kenya,KEN,2010,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,9.46862640502403
Kenya,KEN,2009,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,13.0147714433984
