id,tender-title,tender-ref_No,contract_amount,contract_code,contract_status,created_at,expected_completion_date,month,org_name,pin_number,supplier_name,tender_award_date,type,updated_at,year
0,provision of security services.,NTZDC/TN/03/2018/19/20,"4,852,800.00",MZ4BVH7F,Ongoing,2019-03-11 16:02:26,2019-12-31,Dec,Nyayo Tea Zones Develop Corporation,P051165790I,kleen homes security services limited,2019-12-24,State Corporation,8 Months,2019
1,supply and delivery of office safe and bookshelf for chairman's office,KFS/038/2018-2019,"42,000.00",VV12D2BJ,Ongoing,2019-01-30 11:24:19,2019-02-15,Dec,Kenya Forest Service,P051540293F,ample express general supplies,2019-12-24,State Corporation,0 Days,2019
2,supply of safety shoes,RFX7702,"40,728.00",R1I9USRQ,Ongoing,2019-01-14 15:25:17,2019-01-04,Dec,Kenya Airport Authority,P051143344Z,zocom limited,2019-12-05,State Corporation,0 Days,2019
3,supply and delivery of promotional items,GDC/HQS/RFQ/015/2018-2019,"97,257.00",NMFBVWNJ,Ongoing,2019-02-05 11:39:49,2019-01-28,Dec,Geothermal Development Company,P051546295V,tremit enterprises,2019-12-05,State Corporation,0 Days,2019
4,supply and delivery of airtime,EACC/25/2018-2019,"940,000.00",HBI8BFUZ,Ongoing,2019-01-28 15:44:25,2019-01-08,Nov,Ethics and Anti-Corruption Commission,P051129820X,safaricom plc,2019-11-30,Commissions and Independent Offices,0 Days,2019
5,supply and delivery of epson receipt printer lq 690 as per specificati...,KFS/028/2018-2019,"127,992.00",UB5FPTEB,Ongoing,2019-01-16 13:09:15,2018-12-24,Nov,Kenya Forest Service,P051456399X,decision analyst limited,2019-11-20,State Corporation,0 Days,2019
6,supply and delivery of 51 seater bus(re-tender),TENDER NO. MTRH/T/8/2017-2018,"98,400.00",JQ9F2CLJ,Ongoing,2019-02-07 14:23:15,2019-02-08,Nov,Moi Teaching and Referral Hostipal,P051704983S,sipkelm limited,2019-11-08,State Corporation,0 Days,2019
7,supply and delivery of foodstuffs (perishables),TENDER NO. MTRH/T/11/2017-2018,"50,000.00",1EEKWJJL,Ongoing,2019-03-01 10:03:54,2019-02-11,Nov,Moi Teaching and Referral Hostipal,KRAELD5448462018,lalang enterprise solutions limited,2019-11-08,State Corporation,0 Days,2019
8,supply and delivery of huma drugs,TENDER NO. MTRH/T/25/2018-2020,"1,148,800.00",6TNHOC0I,Ongoing,2019-03-06 14:54:06,2019-03-04,Nov,Moi Teaching and Referral Hostipal,P051117972H,sai pharmaceuticals limited,2019-11-08,State Corporation,0 Days,2019
9,supply and delivery of huma drugs,TENDER NO. MTRH/T/25/2018-2020,"77,800.00",XEDQZ9VI,Ongoing,2019-03-07 14:16:32,1970-01-01,Nov,Moi Teaching and Referral Hostipal,P000599670O,nairobi enterprises limited,2019-11-08,State Corporation,0 Days,2019
10,supply and delivery of foodtuff (meat),TENDER NO. MTRH/T/16/2018-2020,"160,000.00",TMV0XVOG,Ongoing,2019-03-11 10:31:23,2019-03-04,Nov,Moi Teaching and Referral Hostipal,KRAELD0943522018,namina enterprises,2019-11-08,State Corporation,0 Days,2019
